aX,aY,aZ,gX,gY,gZ
0.457,-0.050,-1.009,-11.902,-6.653,-2.747
0.456,-0.048,-0.960,-17.700,-7.690,-2.075
0.478,-0.042,-0.942,-22.278,-9.277,-2.319
0.507,-0.044,-0.946,-26.245,-10.620,-3.174
0.550,-0.075,-0.934,-29.724,-11.169,-4.578
0.573,-0.108,-0.912,-33.203,-12.329,-6.409
0.572,-0.111,-0.912,-37.476,-12.939,-9.766
0.559,-0.097,-0.947,-42.297,-13.123,-14.404
0.544,-0.094,-0.987,-48.767,-14.038,-18.677
0.512,-0.066,-1.002,-57.434,-14.771,-23.315
0.470,-0.051,-1.000,-65.491,-15.381,-25.940
0.436,-0.046,-1.011,-73.303,-16.968,-25.635
0.420,-0.009,-1.026,-84.229,-19.043,-25.208
0.427,0.017,-1.025,-96.558,-20.325,-27.283
0.418,0.029,-1.039,-107.239,-24.536,-31.616
0.391,0.049,-1.070,-116.821,-32.837,-36.560
0.378,0.078,-1.111,-125.000,-41.199,-40.710
0.381,0.121,-1.152,-130.981,-46.753,-42.786
0.369,0.114,-1.092,-130.859,-48.218,-43.213
0.350,0.018,-1.026,-128.418,-50.598,-39.734
0.353,-0.047,-0.980,-135.498,-54.443,-37.781
0.357,-0.077,-0.922,-148.315,-56.580,-37.781
0.353,-0.134,-0.847,-159.790,-58.105,-36.560
0.331,-0.195,-0.790,-170.105,-61.584,-33.325
0.339,-0.229,-0.724,-183.655,-64.514,-30.212
0.386,-0.241,-0.641,-198.975,-62.805,-28.931
0.411,-0.282,-0.549,-209.778,-60.669,-29.724
0.407,-0.307,-0.498,-217.896,-63.965,-32.410
0.384,-0.276,-0.513,-223.511,-68.848,-34.058
0.371,-0.227,-0.504,-222.229,-71.716,-33.142
0.354,-0.237,-0.475,-212.524,-71.716,-27.466
0.345,-0.269,-0.476,-202.576,-71.960,-17.578
0.399,-0.302,-0.461,-197.388,-70.740,-8.545
0.503,-0.344,-0.410,-198.364,-69.824,-4.028
0.554,-0.343,-0.352,-202.637,-74.036,-4.333
0.564,-0.369,-0.305,-205.261,-83.130,-7.874
0.557,-0.416,-0.262,-208.130,-92.773,-14.221
0.533,-0.458,-0.215,-215.210,-99.243,-20.447

0.285,0.094,0.925,-6.958,-0.488,-0.854
0.274,0.107,0.961,-7.751,0.061,-2.136
0.256,0.113,0.970,-5.920,1.221,-2.625
0.224,0.110,0.962,-2.319,2.502,-3.174
0.181,0.084,0.910,3.784,3.784,-4.150
0.166,0.046,0.864,9.094,3.113,-2.747
0.172,0.030,0.847,10.193,0.061,0.854
0.199,0.033,0.844,8.301,-2.075,3.540
0.232,0.034,0.862,4.456,-1.831,4.700
0.248,0.045,0.876,-0.549,-0.122,4.761
0.270,0.066,0.888,-4.639,1.648,5.188
0.296,0.065,0.918,-7.629,2.075,6.226
0.303,0.070,0.954,-10.742,0.793,5.188
0.297,0.080,1.001,-12.390,-0.427,3.052
0.276,0.075,1.040,-11.047,-1.770,0.488
0.240,0.063,1.047,-6.409,-2.441,-1.648
0.218,0.032,1.011,-0.732,-1.343,-1.709
0.217,0.010,0.966,3.052,-0.366,0.366
0.228,0.001,0.945,3.906,-0.061,3.174
0.251,0.006,0.955,2.869,-0.366,5.188
0.284,0.022,0.984,0.549,-1.160,6.592
0.308,0.046,1.009,-1.343,-1.648,7.019
0.332,0.050,1.043,-1.892,-1.587,5.859
0.356,0.042,1.099,-1.953,-1.526,3.723
0.361,0.059,1.176,-1.892,-1.831,0.854
0.358,0.047,1.286,1.892,-2.380,-1.221
0.347,-0.010,1.401,10.376,-4.761,-2.258
0.301,-0.050,1.503,21.240,-10.803,-2.991
0.290,-0.081,1.568,34.485,-14.893,-1.648
0.321,-0.115,1.666,47.852,-12.146,1.465
0.346,-0.143,1.827,59.570,-5.859,4.639
0.337,-0.163,2.069,72.449,0.671,8.972
0.324,-0.164,2.311,91.370,9.277,14.954
0.331,-0.122,2.421,118.469,20.691,22.949
0.419,-0.101,2.437,151.123,36.621,29.175
0.547,-0.115,2.434,181.091,53.406,29.846
0.727,-0.151,2.481,202.454,63.477,25.146
0.807,-0.180,2.671,215.637,66.406,13.672
0.784,-0.162,3.003,228.455,60.852,-4.944
0.633,-0.187,3.405,252.991,52.307,-22.583
0.349,-0.200,3.773,288.574,48.767,-30.518
0.141,-0.114,3.981,331.482,57.678,-25.574
0.001,-0.115,3.998,379.822,84.839,-10.071
-0.111,-0.022,3.815,422.180,115.906,11.047
-0.074,0.130,3.460,453.918,148.926,34.302
0.001,0.183,3.055,475.769,188.232,50.964
0.030,0.290,2.623,484.253,213.196,58.838
-0.086,0.499,2.125,485.535,219.482,64.148
-0.152,0.750,1.581,490.051,223.938,68.420
-0.069,0.739,1.053,500.732,225.769,74.158
-0.070,0.682,0.688,499.023,211.304,78.308
-0.069,0.733,0.589,479.797,197.388,81.116
-0.020,0.681,0.732,461.487,196.167,82.336
-0.131,0.730,0.824,449.463,188.477,78.796
-0.198,0.767,0.773,446.228,177.124,73.059
-0.128,0.646,0.703,450.256,171.814,72.998
-0.221,0.568,0.698,445.801,163.757,70.435
-0.548,0.869,0.501,429.016,151.855,67.932
-0.616,0.947,0.184,423.340,146.179,74.158
-0.643,0.987,-0.115,417.847,139.709,85.022
-0.652,1.183,-0.420,394.531,134.033,93.018
-0.508,1.232,-0.695,369.324,127.930,93.323
-0.402,1.215,-0.774,342.896,121.399,86.548
-0.359,1.235,-0.816,316.650,106.323,73.059
-0.331,1.207,-0.906,296.875,88.745,62.866
-0.287,1.179,-1.000,275.757,76.599,57.983
-0.178,1.094,-1.047,251.770,67.932,55.603
-0.184,1.097,-1.132,226.929,60.486,53.467
-0.090,1.023,-1.310,203.979,52.673,51.758
0.035,0.889,-1.394,180.420,45.837,51.575
0.185,0.777,-1.352,151.428,40.222,49.500
0.346,0.621,-1.211,124.634,38.879,44.312
0.387,0.499,-1.048,104.004,36.377,35.950
0.445,0.396,-0.992,89.966,29.907,26.611
0.396,0.351,-1.010,82.031,24.963,20.081
0.442,0.348,-1.116,72.571,21.851,14.954
0.474,0.270,-1.184,64.636,22.217,12.573
0.489,0.168,-1.175,53.711,20.813,10.071
0.520,-0.003,-1.068,41.382,18.188,7.507
0.462,-0.098,-0.901,29.236,19.653,8.179
0.449,-0.068,-0.871,21.423,21.545,10.925
0.540,-0.104,-0.960,21.301,21.790,16.113
