aX,aY,aZ,gX,gY,gZ
-0.086,2.374,0.001,-105.835,238.037,188.843
0.028,2.808,0.205,-44.250,219.849,129.883
0.312,3.010,0.527,9.766,200.989,67.261
0.743,2.953,0.832,20.569,173.462,15.442
1.250,2.699,0.919,-6.104,136.719,-7.202
1.680,2.327,0.814,-43.823,108.337,0.427
1.990,1.990,0.615,-74.829,97.290,18.860
2.165,1.762,0.402,-86.304,106.689,38.086
2.210,1.575,0.267,-71.228,122.803,59.265
2.075,1.504,0.257,-43.579,136.230,75.867
1.794,1.481,0.294,-20.020,144.653,76.599
1.511,1.483,0.342,-4.028,142.273,69.336
1.248,1.487,0.397,2.991,128.052,63.904
1.054,1.448,0.478,8.606,104.736,58.289
1.040,1.299,0.578,12.085,79.163,49.744
1.012,1.202,0.619,5.554,58.838,45.959
0.963,1.123,0.617,-3.601,47.668,49.255
0.874,0.990,0.562,-8.057,48.096,50.049
0.833,0.849,0.451,-8.728,58.411,44.617
1.108,0.510,0.950,-9.033,64.087,40.039
0.625,0.569,0.913,-49.744,22.156,31.067
0.743,0.617,0.443,-71.716,2.502,28.625
0.689,0.525,0.320,-48.950,30.029,32.227
0.674,0.481,0.311,-15.564,46.692,22.522
0.689,0.482,0.295,1.648,44.250,6.714
0.671,0.431,0.258,2.625,32.166,-0.244
0.642,0.460,0.237,-1.709,19.226,-1.587
0.586,0.461,0.228,-7.935,6.958,1.099
0.523,0.436,0.177,-14.160,-0.244,3.357
0.477,0.423,0.101,-14.832,0.122,0.488
0.446,0.425,0.039,-7.751,5.615,-6.287
0.474,0.429,0.028,2.747,12.390,-14.221
0.525,0.429,0.010,10.132,17.578,-20.386
0.608,0.385,0.012,12.146,19.348,-20.935
0.801,0.322,0.156,5.310,14.954,-16.418
0.687,0.389,0.074,-15.137,-0.366,-5.615
0.723,0.372,0.048,-21.912,-1.831,1.465
0.688,0.392,0.052,-20.630,-2.014,4.395
0.664,0.413,0.064,-17.090,-2.686,7.019
0.654,0.404,0.068,-14.832,-2.747,7.568

0.560,0.534,0.205,-0.732,6.104,7.385
0.588,0.551,0.219,-1.038,5.859,6.226
0.610,0.573,0.227,-2.197,6.348,5.676
0.640,0.593,0.226,-4.089,7.446,4.700
0.659,0.601,0.215,-6.348,7.751,3.845
0.671,0.605,0.207,-7.141,7.202,2.502
0.683,0.610,0.209,-6.653,6.104,0.916
0.697,0.607,0.225,-5.737,5.188,-1.221
0.713,0.614,0.249,-4.761,4.883,-3.296
0.726,0.630,0.275,-4.700,5.310,-4.700
0.739,0.655,0.295,-5.066,7.446,-5.798
0.740,0.673,0.301,-6.104,10.132,-6.897
0.743,0.686,0.300,-7.263,12.268,-7.874
0.746,0.692,0.297,-8.179,12.817,-8.911
0.745,0.703,0.304,-7.996,12.329,-9.644
0.751,0.713,0.317,-7.446,11.169,-9.888
0.769,0.724,0.320,-7.080,9.888,-9.766
0.777,0.745,0.315,-7.080,8.789,-8.850
0.783,0.767,0.298,-6.409,6.775,-8.484
0.783,0.778,0.288,-5.066,1.404,-8.606
0.788,0.779,0.287,-3.052,-5.371,-8.789
0.797,0.774,0.300,-0.916,-11.536,-8.728
0.787,0.778,0.322,1.282,-16.846,-8.301
0.767,0.791,0.346,3.906,-17.517,-7.996
0.746,0.812,0.360,5.493,-14.038,-9.827
0.737,0.823,0.365,6.287,-9.888,-13.489
0.722,0.857,0.360,6.653,-8.728,-19.897
0.733,0.889,0.352,6.104,-12.024,-30.273
0.761,0.905,0.354,5.798,-17.456,-42.175
0.765,0.948,0.366,4.211,-24.231,-54.382
0.757,0.976,0.396,1.038,-33.386,-67.627
0.729,1.009,0.426,-1.648,-44.495,-83.008
0.722,1.050,0.475,-4.700,-57.251,-101.929
0.813,1.112,0.499,-3.235,-68.848,-122.986
0.869,1.220,0.578,7.935,-68.115,-139.709
0.840,1.422,0.525,17.395,-58.716,-159.180
0.805,1.631,0.882,28.809,-70.618,-183.533
0.823,2.026,0.909,15.686,-84.473,-207.947
0.621,2.497,0.778,-5.249,-117.798,-243.835
0.630,3.043,0.760,-16.235,-202.576,-276.245
0.747,3.559,0.845,3.296,-291.992,-282.959
0.744,4.000,0.845,34.485,-350.403,-275.330
0.595,4.000,0.953,69.580,-386.658,-272.156
0.529,4.000,1.017,94.238,-389.526,-279.602
0.441,4.000,1.013,106.262,-355.530,-289.368
0.327,4.000,0.848,100.098,-298.584,-303.284
0.370,4.000,0.443,61.646,-243.958,-330.383
0.167,3.930,0.024,-9.460,-245.178,-369.873
-0.145,3.189,-0.530,-98.267,-316.284,-391.235
-0.766,2.460,-1.107,-184.326,-434.998,-392.761
-1.751,1.598,-1.547,-220.215,-565.369,-381.592
-3.038,0.431,-1.785,-177.368,-649.048,-361.877
-4.000,-1.526,-1.768,-53.223,-630.432,-340.210
